Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,wholeAddress
1581586,"December 27, 2019",Missouri,Kansas City,527 NW 72nd Ct,1,0,"527 NW 72nd Ct, Kansas City, Missouri"
1586160,"December 26, 2019",Alabama,Mobile,1550 Government St,0,1,"1550 Government St, Mobile, Alabama"
1580342,"December 26, 2019",Alabama,Florence,113 Cox Creek Pkwy S,0,1,"113 Cox Creek Pkwy S, Florence, Alabama"
1580974,"December 26, 2019",Illinois,Moline,1100 block of 11th St,0,0,"1100 block of 11th St, Moline, Illinois"
1580102,"December 26, 2019",Virginia,Manassas,8201 Sudley Road,1,1,"8201 Sudley Road, Manassas, Virginia"
1580174,"December 26, 2019",Massachusetts,Brockton,47 Calmar St,0,1,"47 Calmar St, Brockton, Massachusetts"
1580151,"December 26, 2019",Kentucky,Richmond,Darleen Ct and Tates Creek Ave,0,2,"Darleen Ct and Tates Creek Ave, Richmond, Kentucky"
1580800,"December 26, 2019",Connecticut,Naugatuck,Maple St,0,0,"Maple St, Naugatuck, Connecticut"
1580775,"December 26, 2019",Indiana,East Chicago,3900 block of E 139th St,0,1,"3900 block of E 139th St, East Chicago, Indiana"
1581209,"December 26, 2019",Virginia,Max Meadows,4200 block of E Lee Hwy,0,0,"4200 block of E Lee Hwy, Max Meadows, Virginia"
1580379,"December 26, 2019",Florida,Auburndale,Congress Ave,1,0,"Congress Ave, Auburndale, Florida"
1580761,"December 26, 2019",Georgia,Thomson,605 Dixie Dr,1,0,"605 Dixie Dr, Thomson, Georgia"
1580865,"December 26, 2019",Iowa,Sioux City,3100 block of S Lewis Blvd,0,0,"3100 block of S Lewis Blvd, Sioux City, Iowa"
1581378,"December 26, 2019",Illinois,Alton,800 block of Ridge St,0,0,"800 block of Ridge St, Alton, Illinois"
1590296,"December 26, 2019",Pennsylvania,Temple,5370 Allentown Pike,0,0,"5370 Allentown Pike, Temple, Pennsylvania"
1580410,"December 26, 2019",Florida,Cantonment,1200 block of Tate Rd,0,0,"1200 block of Tate Rd, Cantonment, Florida"
1580095,"December 26, 2019",Tennessee,Cordova,1205 N Germantown Pkwy,0,1,"1205 N Germantown Pkwy, Cordova, Tennessee"
1581101,"December 25, 2019",Kentucky,Bowling Green,Clarence Odell Rd,0,0,"Clarence Odell Rd, Bowling Green, Kentucky"
1579788,"December 25, 2019",New Mexico,Rio Rancho,3400 Martin Meadows Dr NE,4,0,"3400 Martin Meadows Dr NE, Rio Rancho, New Mexico"
1580323,"December 25, 2019",Texas,Weslaco,100 S International Blvd,0,0,"100 S International Blvd, Weslaco, Texas"
1580235,"December 25, 2019",Kentucky,Frankfort,1700 Bridgeport-Benson Rd,0,1,"1700 Bridgeport-Benson Rd, Frankfort, Kentucky"
1582600,"December 25, 2019",New Mexico,Deming,1800 block of Solana Rd SE,0,1,"1800 block of Solana Rd SE, Deming, New Mexico"
1586844,"December 25, 2019",Pennsylvania,Harrisburg,200 block of Butternut Ln,0,0,"200 block of Butternut Ln, Harrisburg, Pennsylvania"
1581133,"December 25, 2019",Texas,Houston,8900 block of Glencrest St,1,0,"8900 block of Glencrest St, Houston, Texas"
1580445,"December 25, 2019",Texas,Buna,34060 US-96,1,0,"34060 US-96, Buna, Texas"
1580475,"December 25, 2019",Texas,Fort Worth,6600 South Fwy,0,1,"6600 South Fwy, Fort Worth, Texas"
1579617,"December 25, 2019",Michigan,Eastpointe,23203 Gratiot Ave,0,0,"23203 Gratiot Ave, Eastpointe, Michigan"
1580079,"December 25, 2019",Kansas,Topeka,5900 block of SW 35th St,0,0,"5900 block of SW 35th St, Topeka, Kansas"
1580438,"December 25, 2019",South Carolina,Boiling Springs,Colfax Dr,0,1,"Colfax Dr, Boiling Springs, South Carolina"
1581380,"December 25, 2019",Illinois,Venice,1000 block of Market St,0,0,"1000 block of Market St, Venice, Illinois"
1580034,"December 25, 2019",Illinois,East Peoria,829 E Camp St,0,0,"829 E Camp St, East Peoria, Illinois"
1581338,"December 25, 2019",North Dakota,Mandan,N/A,0,0,"N/A, Mandan, North Dakota"
1579876,"December 25, 2019",Alabama,Eufaula,100 Wall St,1,0,"100 Wall St, Eufaula, Alabama"
1580496,"December 25, 2019",South Carolina,York,500 block of Thicket Run,0,0,"500 block of Thicket Run, York, South Carolina"
1580487,"December 25, 2019",Texas,Lubbock,5108 I-27,0,0,"5108 I-27, Lubbock, Texas"
1583001,"December 25, 2019",Tennessee,Oliver Springs,Stubbs Rd,0,0,"Stubbs Rd, Oliver Springs, Tennessee"
1581229,"December 25, 2019",Missouri,Kansas City,6300 block of Blue Pkwy,0,0,"6300 block of Blue Pkwy, Kansas City, Missouri"
1579838,"December 24, 2019",Ohio,Dayton,2800 block of E 1st St,0,0,"2800 block of E 1st St, Dayton, Ohio"
1579375,"December 24, 2019",Texas,Houston,16500 block of Obsidian Dr,1,0,"16500 block of Obsidian Dr, Houston, Texas"
1580452,"December 24, 2019",Texas,Beaumont,3355 Eastex Fwy,0,0,"3355 Eastex Fwy, Beaumont, Texas"
1579666,"December 24, 2019",Texas,Houston,4820 Hwy 6,1,1,"4820 Hwy 6, Houston, Texas"
1579117,"December 24, 2019",Massachusetts,Boston,16 Savin St,0,0,"16 Savin St, Boston, Massachusetts"
1579258,"December 24, 2019",Tennessee,Nashville,3800 block of Crouch Dr,0,1,"3800 block of Crouch Dr, Nashville, Tennessee"
1579220,"December 24, 2019",North Carolina,High Point,1226 Montlieu Ave,0,6,"1226 Montlieu Ave, High Point, North Carolina"
1579586,"December 24, 2019",Wisconsin,Madison,937 S Midvale Blvd,1,0,"937 S Midvale Blvd, Madison, Wisconsin"
1592007,"December 24, 2019",Louisiana,Campti,LA-480 and Bubba Ridley Rd,0,1,"LA-480 and Bubba Ridley Rd, Campti, Louisiana"
1579655,"December 24, 2019",Arizona,Yuma,2300 block of S Carol Ave,0,1,"2300 block of S Carol Ave, Yuma, Arizona"
1579276,"December 24, 2019",Illinois,Belleville,10 Elmway Court,0,1,"10 Elmway Court, Belleville, Illinois"
1579477,"December 24, 2019",Delaware,Wilmington,200 block of Cityview Ave,0,1,"200 block of Cityview Ave, Wilmington, Delaware"
1630525,"December 24, 2019",Maryland,Saint Leonard,Parkers Wharf Rd,0,0,"Parkers Wharf Rd, Saint Leonard, Maryland"
1581640,"December 24, 2019",Illinois,Champaign,2700 block of Sangamon Dr,0,0,"2700 block of Sangamon Dr, Champaign, Illinois"
1579900,"December 24, 2019",Louisiana,Duson,N/A,0,0,"N/A, Duson, Louisiana"
1580406,"December 24, 2019",Florida,Bunnell,S Cherry St and E Booe St,0,0,"S Cherry St and E Booe St, Bunnell, Florida"
1579469,"December 24, 2019",Florida,Palm Beach Gardens (Riviera Beach),W 29th St,0,1,"W 29th St, Palm Beach Gardens (Riviera Beach), Florida"
1579849,"December 24, 2019",Ohio,Sandusky,1000 block of Carr St,0,0,"1000 block of Carr St, Sandusky, Ohio"
1579348,"December 23, 2019",Texas,Livingston,901 Forest Hollow,1,0,"901 Forest Hollow, Livingston, Texas"
1578596,"December 23, 2019",Colorado,Pueblo,600 block of Rapids Pl,0,0,"600 block of Rapids Pl, Pueblo, Colorado"
1601556,"December 23, 2019",Ohio,Toledo,1530 Cherry St,0,0,"1530 Cherry St, Toledo, Ohio"
1581727,"December 23, 2019",Illinois,Decatur,E Prairie St,0,0,"E Prairie St, Decatur, Illinois"
1579339,"December 23, 2019",New York,Middle Island,Wellington Rd and Middle Country Rd,0,0,"Wellington Rd and Middle Country Rd, Middle Island, New York"
1578411,"December 23, 2019",Texas,Channelview,1835 Amie Michele Ln,3,1,"1835 Amie Michele Ln, Channelview, Texas"
1599700,"December 23, 2019",Michigan,Detroit,12000 block of Mettetal St,0,0,"12000 block of Mettetal St, Detroit, Michigan"
1579125,"December 23, 2019",Massachusetts,Boston,29 Smith Street,0,0,"29 Smith Street, Boston, Massachusetts"
1591821,"December 23, 2019",Utah,Salt Lake City,N/A,0,0,"N/A, Salt Lake City, Utah"
1579098,"December 23, 2019",Illinois,Bloomington,1200 block of Butchers Ln,0,0,"1200 block of Butchers Ln, Bloomington, Illinois"
1579601,"December 23, 2019",North Carolina,Kannapolis,600 block of W 9th St,0,0,"600 block of W 9th St, Kannapolis, North Carolina"
1578828,"December 23, 2019",Oklahoma,Tulsa,E 29th St and S 107th E Ave,1,0,"E 29th St and S 107th E Ave, Tulsa, Oklahoma"
1579021,"December 23, 2019",Michigan,Battle Creek,100 block of Laura Ln,0,1,"100 block of Laura Ln, Battle Creek, Michigan"
1580091,"December 23, 2019",Nebraska,Lincoln,K St and S 21st St,0,0,"K St and S 21st St, Lincoln, Nebraska"
1579283,"December 23, 2019",Indiana,Munster,7950 Calumet Ave,0,0,"7950 Calumet Ave, Munster, Indiana"
1578832,"December 23, 2019",Ohio,Franklin (Carlisle),300 block of Martz-Paulin Rd,0,1,"300 block of Martz-Paulin Rd, Franklin (Carlisle), Ohio"
1578846,"December 23, 2019",Alabama,Mobile,3299 Joe Treadwell Dr,0,0,"3299 Joe Treadwell Dr, Mobile, Alabama"
1578801,"December 23, 2019",Texas,San Antonio,S Flores St and W Theo Ave,1,0,"S Flores St and W Theo Ave, San Antonio, Texas"
1580431,"December 23, 2019",Louisiana,Eunice,620 W Maple Ave,0,0,"620 W Maple Ave, Eunice, Louisiana"
1577963,"December 22, 2019",District of Columbia,Washington,2900 block of 30th St SE,0,1,"2900 block of 30th St SE, Washington, District of Columbia"
1577577,"December 22, 2019",Maryland,Baltimore,225 Park Ave,0,7,"225 Park Ave, Baltimore, Maryland"
1578032,"December 22, 2019",Pennsylvania,Pittsburgh (Wilkinsburg),800 block of Penn Ave,1,0,"800 block of Penn Ave, Pittsburgh (Wilkinsburg), Pennsylvania"
1580210,"December 22, 2019",West Virginia,Saint Albans,800 block of Hudson St,0,0,"800 block of Hudson St, Saint Albans, West Virginia"
1579748,"December 22, 2019",Arkansas,Springdale,1206 Backus Ave,0,0,"1206 Backus Ave, Springdale, Arkansas"
1577925,"December 22, 2019",Kentucky,Middlesboro,99 Cumberland Village Rd,0,0,"99 Cumberland Village Rd, Middlesboro, Kentucky"
1580819,"December 22, 2019",Texas,Baytown,1500 block of Ward Rd,0,0,"1500 block of Ward Rd, Baytown, Texas"
1578385,"December 22, 2019",Michigan,Kalamazoo,Princeton Ave and Norway Ave,0,1,"Princeton Ave and Norway Ave, Kalamazoo, Michigan"
1579112,"December 22, 2019",Illinois,Kankakee,400 block of S Osborn Ave,0,0,"400 block of S Osborn Ave, Kankakee, Illinois"
1578016,"December 22, 2019",Arkansas,West Memphis,800 block of Walnut Dr,0,1,"800 block of Walnut Dr, West Memphis, Arkansas"
1581514,"December 22, 2019",Ohio,Oxford,N College Ave,0,0,"N College Ave, Oxford, Ohio"
1616923,"December 22, 2019",West Virginia,Bluefield,3379 Brushfork Rd,1,0,"3379 Brushfork Rd, Bluefield, West Virginia"
1578342,"December 22, 2019",Indiana,Fort Wayne,1800 block of Fox Point Trail,1,0,"1800 block of Fox Point Trail, Fort Wayne, Indiana"
1577911,"December 22, 2019",Kentucky,London,Old KY 30,1,0,"Old KY 30, London, Kentucky"
1579000,"December 22, 2019",Oklahoma,Tulsa,S 130th E Pl and E 31st St,0,0,"S 130th E Pl and E 31st St, Tulsa, Oklahoma"
1578946,"December 22, 2019",Colorado,Pueblo (Pueblo West),100 block of E Falcon Dr,0,0,"100 block of E Falcon Dr, Pueblo (Pueblo West), Colorado"
1577518,"December 22, 2019",Illinois,Chicago,5700 block of S May St,0,13,"5700 block of S May St, Chicago, Illinois"
1578282,"December 22, 2019",California,Pittsburg (Bay Point),211 Port Chicago Hwy,1,0,"211 Port Chicago Hwy, Pittsburg (Bay Point), California"
1577838,"December 22, 2019",Maryland,Baltimore,157 N Kenwood Ave,1,0,"157 N Kenwood Ave, Baltimore, Maryland"
1578181,"December 22, 2019",Utah,Newton,N/A,0,0,"N/A, Newton, Utah"
1691185,"December 22, 2019",Tennessee,Surgoinsville,Stanley Valley Rd,0,0,"Stanley Valley Rd, Surgoinsville, Tennessee"
1578648,"December 21, 2019",Colorado,Pueblo,Pine Bluff Dr W,0,0,"Pine Bluff Dr W, Pueblo, Colorado"
1578643,"December 21, 2019",Colorado,Pueblo,4000 block of W Northern Ave,0,0,"4000 block of W Northern Ave, Pueblo, Colorado"
1577312,"December 21, 2019",Michigan,Detroit,4700 block of Somerset Ave,0,1,"4700 block of Somerset Ave, Detroit, Michigan"
1578472,"December 21, 2019",Oregon,Redmond,NW 39th St and Spruce Ave,0,0,"NW 39th St and Spruce Ave, Redmond, Oregon"
1578332,"December 21, 2019",Kentucky,Louisville,3801 Willis Ave,0,0,"3801 Willis Ave, Louisville, Kentucky"
1578294,"December 21, 2019",Iowa,Dyersville,131 2nd St NE,0,0,"131 2nd St NE, Dyersville, Iowa"
1577502,"December 21, 2019",Utah,Huntington,UT-31,1,0,"UT-31, Huntington, Utah"
1629317,"December 21, 2019",Florida,Panama City,Cactus Ave,0,0,"Cactus Ave, Panama City, Florida"
1578933,"December 21, 2019",Maryland,Glen Burnie,100 block of Inglewood Dr,0,0,"100 block of Inglewood Dr, Glen Burnie, Maryland"
1577568,"December 21, 2019",Delaware,Hartly,Myers Dr,0,0,"Myers Dr, Hartly, Delaware"
1578851,"December 21, 2019",Massachusetts,Springfield,Exit 11 on I-91 South,0,0,"Exit 11 on I-91 South, Springfield, Massachusetts"
1581271,"December 21, 2019",Texas,Victoria,2700 block of Allendale St,0,0,"2700 block of Allendale St, Victoria, Texas"
1581269,"December 21, 2019",Ohio,Dayton,S Torrence St,0,0,"S Torrence St, Dayton, Ohio"
1581268,"December 21, 2019",Texas,Victoria,3100 block of Lenora Dr,0,0,"3100 block of Lenora Dr, Victoria, Texas"
1600066,"December 21, 2019",Arkansas,Hot Springs National Park (Hot Springs),230 Ouachita Ave,0,0,"230 Ouachita Ave, Hot Springs National Park (Hot Springs), Arkansas"
1634624,"December 21, 2019",Texas,Beaumont,5010 Haden Rd,0,1,"5010 Haden Rd, Beaumont, Texas"
1576778,"December 20, 2019",South Carolina,Orangeburg,Russell St,0,0,"Russell St, Orangeburg, South Carolina"
1577343,"December 20, 2019",California,Fresno,2110 N Blackstone Ave,2,0,"2110 N Blackstone Ave, Fresno, California"
1598262,"December 20, 2019",New Jersey,Jersey City,Wayne St and Mill Rd,0,0,"Wayne St and Mill Rd, Jersey City, New Jersey"
1592345,"December 20, 2019",Rhode Island,Woonsocket,425 Providence St,0,0,"425 Providence St, Woonsocket, Rhode Island"
1576467,"December 20, 2019",Kentucky,Louisville,2750 S 7th St,1,1,"2750 S 7th St, Louisville, Kentucky"
1579604,"December 20, 2019",Arizona,Paulden,235 Bayberry Rd,0,0,"235 Bayberry Rd, Paulden, Arizona"
1653175,"December 20, 2019",South Carolina,Lexington,102 Gantt St,1,0,"102 Gantt St, Lexington, South Carolina"
1580862,"December 20, 2019",North Carolina,Fairmont,N/A,0,1,"N/A, Fairmont, North Carolina"
1576993,"December 20, 2019",Illinois,Zion,2300 block of Gilead Ave,0,1,"2300 block of Gilead Ave, Zion, Illinois"
1576505,"December 20, 2019",Tennessee,Nashville,234 Thompson Ln,0,1,"234 Thompson Ln, Nashville, Tennessee"
1576578,"December 20, 2019",Florida,Lehigh Acres,1820 Unice Ave N,0,0,"1820 Unice Ave N, Lehigh Acres, Florida"
1577413,"December 20, 2019",Virginia,Saltville,600 block of Lions Club Rd,0,0,"600 block of Lions Club Rd, Saltville, Virginia"
1576760,"December 20, 2019",New York,Buffalo,50 block of Floss Ave,1,0,"50 block of Floss Ave, Buffalo, New York"
1576283,"December 20, 2019",North Carolina,Winston Salem (Winston-salem),2000 Lowery St,2,2,"2000 Lowery St, Winston Salem (Winston-salem), North Carolina"
1576266,"December 19, 2019",New York,Brentwood,Suffolk Ave,1,0,"Suffolk Ave, Brentwood, New York"
1575906,"December 19, 2019",Ohio,Dayton (Kettering),1956 Chimney Ln,0,0,"1956 Chimney Ln, Dayton (Kettering), Ohio"
