Retailprice,VehicleType,Engine,Cylinders,Horsepower,CityMPG,HwyMPG
43895,Other,3,6,235,18,26
44240,Other,3,6,220,18,25
44295,Other,3,6,225,19,28
44535,Sport,5.7,8,350,18,25
44925,Other,4.6,8,239,17,25
44995,Other,3,6,225,20,30
45210,Other,2.9,6,268,19,26
45445,Other,4.6,8,275,18,26
45700,SUV,4.7,8,235,15,19
45707,Other,3.2,6,215,20,26
46100,Other,3.5,6,225,18,24
46265,SUV,6,8,325,13,17
46470,SUV,5,8,288,14,17
46995,SUV,4.6,8,320,16,21
47955,Other,4.6,8,275,18,26
48040,Other,4.2,8,340,14,20
48170,Other,3.2,6,221,19,27
48195,Sport,3.2,6,333,16,24
48450,Other,4.3,8,300,18,23
49090,Family,4.2,8,340,15,21
49690,Other,4.2,8,300,17,24
49995,SUV,6,8,316,10,12
49995,Other,4.2,8,294,18,28
50470,Other,4.6,8,239,17,25
50595,Other,4.6,8,300,18,26
50670,Family,3.2,6,221,19,27
51535,Sport,5.7,8,350,18,25
52120,Other,3.2,6,349,16,21
52195,SUV,4.4,8,325,16,22
52365,Sport,3.2,6,258,18,26
52545,Other,4.5,8,340,17,23
52775,SUV,5.4,8,300,13,18
52795,SUV,5.3,8,295,14,18
52800,Other,5,8,302,17,22
52975,Pickup,6,8,345,13,17
54765,SUV,4.7,8,325,13,17
54995,Other,4.4,8,325,18,26
55750,Other,4.3,8,290,18,25
56170,Sport,3.2,6,349,17,22
56595,Sport,3.2,6,333,16,23
56665,SUV,4.5,8,340,14,18
57270,Other,5,8,302,16,20
59995,Other,4.2,8,294,18,28
60670,Family,5,8,302,16,24
63120,Other,4.2,8,390,17,24
63200,Sport,4.3,8,300,18,23
64800,SUV,4.7,8,235,13,17
68995,Other,4.2,8,294,18,28
69190,Other,4.2,8,330,17,24
69195,Other,4.4,8,325,18,26
69995,Sport,4.2,8,294,18,26
72250,SUV,4.4,8,282,12,16
73195,Other,4.4,8,325,18,26
74320,Other,4.3,8,275,18,26
74995,Other,4.2,8,390,17,24
74995,Sport,4.2,8,294,18,26
76200,Sport,4.6,8,320,17,25
76765,Sport,3.6,6,315,18,26
76870,SUV,5,8,292,13,14
79165,Sport,3.6,6,315,18,26
81995,Sport,4.2,8,390,16,23
84165,Sport,3.6,6,315,17,24
84600,Sport,4.2,8,450,15,22
86970,Other,5,8,302,16,24
86995,Sport,4.2,8,390,16,23
89765,Sport,3.2,6,290,17,24
90520,Sport,5,8,302,16,23
94820,Other,5,8,302,16,24
121770,Sport,5.5,8,493,14,21
126670,Sport,5.5,12,493,13,19
128420,Other,5.5,12,493,13,19
192465,Sport,3.6,6,477,17,24
